dic 16 12:37:07|5[info]16/12/2014 12:37:07 - [UTENTE = ][REMOTE IP = 151.24.63.34][act = Login][username = ][password = ][send = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 13:08:44|5[info]16/12/2014 13:08:44 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 32][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 13:17:30|5[info]16/12/2014 13:17:30 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 38][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 13:24:42|5[info]16/12/2014 13:24:42 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 35][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 13:46:20|5[info]16/12/2014 13:46:20 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 13:53:15|5[info]16/12/2014 13:53:15 - [UTENTE = ][REMOTE IP = 66.249.67.136][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 13:57:35|5[info]16/12/2014 13:57:35 - [UTENTE = ][REMOTE IP = 66.249.67.136][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 14:05:22|5[info]16/12/2014 14:05:22 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 14:14:44|5[info]16/12/2014 14:14:44 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 16 14:14:46|5[info]16/12/2014 14:14:46 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 16 14:16:37|5[info]16/12/2014 14:16:37 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 14:17:29|5[info]16/12/2014 14:17:29 - [UTENTE = ][REMOTE IP = 66.249.67.136][act = Search][gm = 15][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 14:18:21|5[info]16/12/2014 14:18:21 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 37][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 14:23:35|5[info]16/12/2014 14:23:35 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 16 15:43:57|5[info]16/12/2014 15:43:57 - [UTENTE = siso][REMOTE IP = 151.24.63.34][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 15:44:08|5[info]16/12/2014 15:44:08 - [UTENTE = siso][REMOTE IP = 151.24.63.34][act = MyAccount][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 15:44:12|5[info]16/12/2014 15:44:12 - [UTENTE = siso][REMOTE IP = 151.24.63.34][act = Orders][user_id = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 15:44:21|5[info]16/12/2014 15:44:21 - [UTENTE = siso][REMOTE IP = 151.24.63.34][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 15:44:26|5[info]16/12/2014 15:44:26 - [UTENTE = siso][REMOTE IP = 151.24.63.34][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 15:44:51|5[info]16/12/2014 15:44:51 - [UTENTE = siso][REMOTE IP = 151.24.63.34][act = Search][gm = 14][is_ajax = 1][layout = thumb][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 15:44:53|5[info]16/12/2014 15:44:53 - [UTENTE = siso][REMOTE IP = 151.24.63.34][act = Search][is_ajax = 1][layout = grid][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 15:46:36|5[info]16/12/2014 15:46:36 - [UTENTE = siso][REMOTE IP = 151.24.63.34][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
