gen 04 12:00:23|5[info]04/01/2015 12:00:23 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:01:03|5[info]04/01/2015 12:01:03 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:02:23|5[info]04/01/2015 12:02:23 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Orders][user_id = 7218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:02:27|5[info]04/01/2015 12:02:27 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:03:32|5[info]04/01/2015 12:03:32 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:03:34|5[info]04/01/2015 12:03:34 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:03:41|5[info]04/01/2015 12:03:41 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:04:03|5[info]04/01/2015 12:04:03 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = ProductInfo][id_giacenza = 16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:04:34|5[info]04/01/2015 12:04:34 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 04 12:05:01|5[info]04/01/2015 12:05:01 - [UTENTE = alberto][REMOTE IP = 95.225.163.88][act = Search][only_disp = 1][search = 1][pageID = 2][is_ajax = 1][layout = thumb][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
