dic 31 01:25:17|5[info]31/12/2014 01:25:17 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:19|5[info]31/12/2014 01:25:19 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:24|5[info]31/12/2014 01:25:24 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ProductInfo][id_giacenza = 17][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:26|5[info]31/12/2014 01:25:26 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:28|5[info]31/12/2014 01:25:28 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:35|5[info]31/12/2014 01:25:35 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:38|5[info]31/12/2014 01:25:38 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:17|5[info]31/12/2014 01:26:17 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:22|5[info]31/12/2014 01:26:22 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:29|5[info]31/12/2014 01:26:29 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:34|5[info]31/12/2014 01:26:34 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:36|5[info]31/12/2014 01:26:36 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:39|5[info]31/12/2014 01:26:39 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:50|5[info]31/12/2014 01:26:50 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:26:51|5[info]31/12/2014 01:26:51 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
