14428;Achillea;MILLEFOLIUM MASTERCLASS PEACH;ROSA;FIORI;
110272;Achillea;MILLEFOLIUM MASTERCLASS PEARL;ROSA CHIARO;FIORI;
14362;Achillea;MILLEFOLIUM MASTERCLASS PINK;VIOLA SCURO;FIORI;
101271;Achillea;MILLEFOLIUM MASTERCLASS PURPLE;VIOLA SCURO;FIORI;
101265;Achillea;MILLEFOLIUM MASTERCLASS PURPLE SENSATION;ROSSO SCURO;FIORI;
101272;Achillea;MILLEFOLIUM MASTERCLASS SWEET PINK;ROSA CHIARO;FIORI;
14427;Achillea;MILLEFOLIUM MASTERCLASS WHITE;BIANCO;FIORI;
105015;Achillea;MILLEFOLIUM MASTERCLASS WHITE VIRGIN;BIANCO SPENTO;FIORI;
11365;Achillea;MILLEFOLIUM MONEYMAKER;ROSA;FIORI;
11631;Achillea;MILLEFOLIUM NIKITA;ROSA SCURO;FIORI;
6328;Achillea;MILLEFOLIUM PAPRIKA;ROSSO SCURO;FIORI;
101035;Achillea;MILLEFOLIUM REDNEK;ROSSO SCURO;FIORI;
14743;Achillea;MILLEFOLIUM SUMMERWINE;ROSSO SCURO;FIORI;
6327;Achillea;MILLEFOLIUM WHITE BEAUTY;BIANCO;FIORI;
4491;Achillea;MOONSHINE;GIALLO;FIORI;
23889;Achillea;ORANGELLO;GIALLO SCURO;FIORI;
11151;Achillea;OVATION;GIALLO;FIORI;
6220;Achillea;OVERIG;;FIORI;
11201;Achillea;PINK LADY;ROSA;FIORI;
1105;Achillea;PTARMICA;;FIORI;
2901;Achillea;PTARMICA MAJOR;BIANCO;FIORI;
2320;Achillea;PTARMICA THE PEARL;BIANCO;FIORI;
1103;Achillea;ROOD;;FIORI;
23896;Achillea;ROYAL AYALA;GIALLO;FIORI;
6221;Achillea;ROZE;;FIORI;
11198;Achillea;SERENADE;VIOLA SCURO;FIORI;
13383;Achillea;TERRACOTTA;GIALLO SCURO;FIORI;
17169;Achillea;WALTER FUNKEN;ROSSO SCURO;FIORI;
6222;Achillea;WIT;;FIORI;
40089;Achillea ESTERNO;CORONATION GOLD;GIALLO;ESTERNO;
40039;Achillea ESTERNO;FILIPENDULINA;;ESTERNO;
40041;Achillea ESTERNO;FILIPENDULINA CLOTH OF GOLD;;ESTERNO;
40053;Achillea ESTERNO;MACROPHYLLA;;ESTERNO;
40054;Achillea ESTERNO;MILLEFOLIUM;;ESTERNO;
